grid_id,center_lat,center_lon,predicted_demand,actual_demand,station_count,nearby_subway_stations_count,nearby_bus_stops_count,nearby_restaurants_count,nearby_shops_count,nearby_offices_count,nearby_universities_count,nearby_schools_count,nearby_hospitals_count,nearby_banks_count,nearby_parks_area_sqm
356,42.265249999999995,-71.17075,27.397482,0.0,0,0,0,5,9,0,0,0,0,0,0.0
393,42.265249999999995,-71.00425000000001,27.74402,0.0,0,0,0,0,0,0,0,1,0,0,402375.25074790965
394,42.265249999999995,-70.99975,21.60782,0.0,0,0,0,0,0,0,0,2,0,0,411023.5836613577
397,42.26975,-71.18425,20.238943,0.0,0,0,0,0,0,0,0,1,0,0,0.0
398,42.26975,-71.17975000000001,26.662262,0.0,0,0,0,0,0,0,0,1,0,0,25666.25700401188
425,42.26975,-71.05825,27.487682,0.0,0,1,0,0,0,0,0,0,0,0,10384.432816736446
432,42.26975,-71.02674999999999,24.806206,0.0,0,0,22,32,31,2,0,1,0,2,24627.6499336826
433,42.26975,-71.02225,25.835007,0.0,0,1,20,35,37,3,0,0,0,3,2159.425287509185
437,42.26975,-71.00425000000001,27.74402,0.0,0,0,0,0,0,0,0,1,0,0,397933.58844056836
438,42.26975,-70.99975,21.60782,0.0,0,0,0,0,0,0,0,2,0,0,406581.9213540164
439,42.26975,-70.99525,26.613089,0.0,0,0,0,0,0,0,0,1,0,0,40137.934469131986
441,42.274249999999995,-71.18425,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
442,42.274249999999995,-71.17975000000001,26.875267,0.0,0,0,1,0,0,1,0,1,0,0,25666.25700401188
469,42.274249999999995,-71.05825,27.823742,0.0,0,1,0,0,0,0,0,0,0,0,644336.8657906121
476,42.274249999999995,-71.02674999999999,36.843918,0.0,0,1,30,33,36,4,0,5,0,6,40283.87555173633
477,42.274249999999995,-71.02225,33.597546,0.0,0,0,29,26,30,3,0,4,0,5,17815.650905562918
481,42.274249999999995,-71.00425000000001,28.950705,0.0,0,0,0,4,0,0,0,1,0,0,7069.651483537688
482,42.274249999999995,-70.99975,20.238943,0.0,0,0,0,1,0,0,0,1,0,0,0.0
484,42.27875,-71.18875,27.07632,0.0,0,0,0,0,0,0,0,0,0,0,362081.72161453095
485,42.27875,-71.18425,28.538242,0.0,0,0,0,0,0,1,0,0,0,0,362081.72161453095
503,42.27875,-71.10325,29.059591,0.0,0,0,0,0,0,0,0,1,0,0,69478.65502899712
525,42.27875,-71.00425000000001,28.516169,0.0,0,0,0,4,0,0,0,0,0,0,7069.651483537688
528,42.283249999999995,-71.18875,27.07632,0.0,0,0,0,0,0,0,0,0,0,0,362081.72161453095
529,42.283249999999995,-71.18425,27.07632,0.0,0,0,0,0,0,0,0,0,0,0,362081.72161453095
606,42.28775,-71.03575000000001,30.308235,0.0,0,0,0,0,2,0,0,0,0,0,784287.295674261
607,42.28775,-71.03125,29.022987,0.0,0,0,0,0,1,0,0,0,0,0,5102.031284985452
634,42.292249999999996,-71.10775000000001,24.98078,0.0,0,0,1,0,0,0,0,0,0,0,8308.795353656997
635,42.292249999999996,-71.10325,30.856634,0.0,0,0,1,0,0,0,0,0,0,0,1990115.580278434
649,42.292249999999996,-71.04025,27.025602,0.0,0,0,0,1,0,0,0,0,0,0,376284.2276268055
650,42.292249999999996,-71.03575000000001,25.428108,0.0,0,0,0,1,0,0,0,0,0,0,331951.62080984446
651,42.292249999999996,-71.03125,35.04947,0.0,0,0,0,0,1,0,0,0,0,0,286974.20494357456
677,42.29675,-71.11225,24.687794,0.0,0,2,12,9,14,7,0,1,0,1,3146253.851589216
693,42.29675,-71.04025,30.749323,0.0,0,0,0,1,0,0,0,0,0,0,310913.53666112764
694,42.29675,-71.03575000000001,36.10819,0.0,0,0,0,3,1,1,0,0,0,0,286974.20494357456
695,42.29675,-71.03125,38.003605,0.0,0,0,0,4,1,1,0,0,0,0,292043.5406833914
696,42.29675,-71.02674999999999,38.003605,0.0,0,0,0,4,1,1,0,0,0,0,292043.5406833914
714,42.301249999999996,-71.14375000000001,21.731298,0.0,0,0,1,0,0,0,0,0,1,0,0.0
